Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Total Population,Population Density,Housing Units,Occupied Units,Vacant Units,White Pop,Black Pop,Am Indian Alaskan Native Pop,Asian,Native Hawaiian or PI,Other,Two or More Races,Non Hispanic,Hispanic
6065043201,Census Tract 432.01,"Census Tract 432.01, Riverside County, California",0,6,65,,43201,4040,3876.968958,1190,1165,25,2049,267,32,624,6,374,688,2923,1117
6065043202,Census Tract 432.02,"Census Tract 432.02, Riverside County, California",0,6,65,,43202,5630,5169.970317,1689,1647,42,3226,238,85,892,36,281,872,4579,1051
6065043203,Census Tract 432.03,"Census Tract 432.03, Riverside County, California",0,6,65,,43203,3482,99.94538248,1162,1100,62,1988,67,478,274,16,165,494,2749,733
6065043204,Census Tract 432.04,"Census Tract 432.04, Riverside County, California",0,6,65,,43204,7450,3695.402401,1949,1932,17,3684,662,100,805,32,800,1367,5233,2217
6065043205,Census Tract 432.05,"Census Tract 432.05, Riverside County, California",0,6,65,,43205,4667,6665.667065,1404,1377,27,2254,309,53,549,39,523,940,3047,1620
6065043206,Census Tract 432.06,"Census Tract 432.06, Riverside County, California",0,6,65,,43206,7819,3956.652363,2879,2778,101,4063,492,114,668,23,971,1488,5113,2706
6065043207,Census Tract 432.07,"Census Tract 432.07, Riverside County, California",0,6,65,,43207,4504,5618.836578,1750,1596,154,2089,320,55,716,59,519,746,3195,1309
6065043208,Census Tract 432.08,"Census Tract 432.08, Riverside County, California",0,6,65,,43208,5039,7368.67189,1407,1382,25,2426,297,107,1021,36,393,759,3871,1168
6065043209,Census Tract 432.09,"Census Tract 432.09, Riverside County, California",0,6,65,,43209,4105,4765.28585,1540,1469,71,2202,332,41,567,18,308,637,3139,966
6065043210,Census Tract 432.10,"Census Tract 432.10, Riverside County, California",0,6,65,,43210,4898,3233.505834,1988,1895,93,2999,191,61,296,8,531,812,3476,1422
6065043211,Census Tract 432.11,"Census Tract 432.11, Riverside County, California",0,6,65,,43211,5517,5575.125799,1700,1667,33,2973,270,46,438,38,751,1001,3562,1955
6065043216,Census Tract 432.16,"Census Tract 432.16, Riverside County, California",0,6,65,,43216,7142,3617.833703,2673,2553,120,3551,458,105,618,28,1080,1302,4503,2639
6065043217,Census Tract 432.17,"Census Tract 432.17, Riverside County, California",0,6,65,,43217,3277,2604.939574,1111,1084,27,1876,162,52,310,15,318,544,2311,966
6065043218,Census Tract 432.18,"Census Tract 432.18, Riverside County, California",0,6,65,,43218,5680,2952.008142,1842,1785,57,3586,157,83,342,4,647,861,4060,1620
6065043220,Census Tract 432.20,"Census Tract 432.20, Riverside County, California",0,6,65,,43220,4742,6904.596195,1951,1800,151,2239,294,65,530,19,866,729,2994,1748
6065043222,Census Tract 432.22,"Census Tract 432.22, Riverside County, California",0,6,65,,43222,4775,1414.392093,1675,1628,47,3020,156,46,454,13,360,726,3628,1147
6065043227,Census Tract 432.27,"Census Tract 432.27, Riverside County, California",0,6,65,,43227,8221,4736.116453,2537,2448,89,4034,597,106,818,76,1033,1557,5478,2743
6065043228,Census Tract 432.28,"Census Tract 432.28, Riverside County, California",0,6,65,,43228,4503,7211.837003,1611,1502,109,2319,333,55,353,35,600,808,2952,1551
